C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A037,R170,05-00-03,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,24873971,4114088
A037,R170,05-00-02,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,6365570,1705149
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,2456950,1224439
A037,R170,05-00-02,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,6365570,1705149
A037,R170,05-00-03,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,24873971,4114088
A037,R170,05-00-00,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,2456950,1224439
A037,R170,05-00-01,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,4510332,2043597
A037,R170,05-00-01,14 ST-UNION SQ,LNQR456W,BMT,12/28/2018,00:00:00,REGULAR,4510332,2043597
A043,R462,00-00-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,354961633,439898726
A043,R462,00-00-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,13414013,12743931
A043,R462,00-03-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,5194923,3602835
A043,R462,00-03-04,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,8452398,8252333
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,371003070,455493692
A043,R462,00-06-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,654981,428792
A043,R462,00-03-03,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,3409865,1735589
A043,R462,00-06-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,3419421,1632773
A043,R462,00-00-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,13414013,12743931
A043,R462,00-06-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,654981,428792
A043,R462,00-06-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,3419421,1632773
A043,R462,00-06-02,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,6825565,6863701
A043,R462,00-03-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4930860,1657854
A043,R462,00-00-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,371003070,455493692
A043,R462,00-00-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,354961633,439898726
A043,R462,00-03-01,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,4930860,1657854
A043,R462,00-03-04,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,8452398,8252333
